quartile,n_pts,n_events,person_years,rate_per_1000py,ci_low,ci_high
Q1,268,7.3,19000.5,0.38,0.16,0.78
Q2,292,8,20690,0.39,0.17,0.76
Q3,273,9.3,19367.92,0.48,0.22,0.9
Q4,284,8,20241.3,0.4,0.17,0.78
